,timesteps,reward,hidden_reward,episode_length
522,5757,42,32,8
523,5768,39,29,11
524,5774,44,34,6
525,5781,43,33,7
526,5798,33,23,17
527,5805,43,33,7
528,5815,40,30,10
529,5825,40,30,10
530,5832,43,33,7
531,5839,43,33,7
532,5848,41,31,9
533,5863,35,25,15
534,5872,41,31,9
535,5885,37,27,13
536,5892,43,33,7
537,5904,38,28,12
538,5914,40,30,10
539,5921,43,33,7
540,5926,45,35,5
541,5934,42,32,8
542,5944,40,30,10
543,5950,44,34,6
544,5955,45,35,5
545,5963,42,32,8
546,5972,41,31,9
547,5977,45,35,5
548,5985,42,32,8
549,5997,38,28,12
550,6002,45,35,5
551,6007,45,35,5
552,6018,39,29,11
553,6028,40,30,10
554,6037,41,31,9
555,6046,41,31,9
556,6056,40,30,10
557,6063,43,33,7
558,6071,42,32,8
559,6079,42,32,8
560,6087,42,32,8
561,6094,43,33,7
562,6100,44,34,6
563,6108,42,32,8
564,6119,39,29,11
565,6125,44,34,6
566,6132,43,33,7
567,6142,40,30,10
568,6148,44,34,6
569,6158,40,30,10
570,6167,41,31,9
571,6174,43,33,7
572,6186,38,28,12
573,6195,41,31,9
574,6207,38,28,12
575,6213,44,34,6
576,6220,43,33,7
577,6230,40,30,10
578,6236,44,34,6
579,6242,44,34,6
580,6248,44,34,6
581,6257,41,31,9
582,6266,41,31,9
583,6272,44,34,6
584,6279,43,33,7
585,6288,41,31,9
586,6296,42,32,8
587,6302,44,34,6
588,6308,44,34,6
589,6313,45,35,5
590,6319,44,34,6
591,6325,44,34,6
592,6333,42,32,8
593,6341,42,32,8
594,6349,42,32,8
595,6354,45,35,5
596,6374,30,20,20
597,6382,42,32,8
598,6392,40,30,10
599,6398,44,34,6
600,6405,43,33,7
601,6420,35,25,15
602,6427,43,33,7
603,6435,42,32,8
604,6442,43,33,7
605,6450,42,32,8
606,6462,38,28,12
607,6474,38,28,12
608,6482,42,32,8
609,6488,44,34,6
610,6493,45,35,5
611,6506,37,27,13
612,6514,42,32,8
613,6520,44,34,6
614,6530,40,30,10
615,6539,41,31,9
616,6546,43,33,7
617,6555,41,31,9
618,6563,42,32,8
619,6575,38,28,12
620,6583,42,32,8
621,6592,41,31,9
622,6602,40,30,10
623,6616,36,26,14
624,6621,45,35,5
625,6629,42,32,8
626,6639,40,30,10
627,6648,41,31,9
628,6655,43,33,7
629,6663,42,32,8
630,6669,44,34,6
631,6676,43,33,7
632,6683,43,33,7
633,6689,44,34,6
634,6697,42,32,8
635,6706,41,31,9
636,6719,37,27,13
637,6724,45,35,5
638,6730,44,34,6
639,6741,39,29,11
640,6748,43,33,7
641,6755,43,33,7
642,6765,40,30,10
643,6780,35,25,15
644,6785,45,35,5
645,6796,39,29,11
646,6806,40,30,10
647,6822,34,24,16
648,6833,39,29,11
649,6840,43,33,7
650,6848,42,32,8
651,6856,42,32,8
652,6863,43,33,7
653,6871,42,32,8
654,6879,42,32,8
655,6884,45,35,5
656,6892,42,32,8
657,6897,45,35,5
658,6902,45,35,5
659,6912,40,30,10
660,6922,40,30,10
661,6930,42,32,8
662,6944,36,26,14
663,6950,44,34,6
664,6957,43,33,7
665,6967,40,30,10
666,6974,43,33,7
667,6984,40,30,10
668,6990,44,34,6
669,6995,45,35,5
670,7004,41,31,9
671,7009,45,35,5
672,7015,44,34,6
673,7022,43,33,7
674,7027,45,35,5
675,7033,44,34,6
676,7040,43,33,7
677,7055,35,25,15
678,7063,42,32,8
679,7070,43,33,7
680,7078,42,32,8
681,7085,43,33,7
682,7093,42,32,8
683,7104,39,29,11
684,7110,44,34,6
